epoch,train_loss,train_acc,val_loss,val_acc
1,1.582937888045002,0.4296759259259259,1.4277634049938295,0.5040740740740741
2,1.2658281308508277,0.5611111111111111,1.238224052144226,0.5566666666666666
3,1.1146266650219823,0.6173611111111111,1.1374923928367582,0.6062962962962963
4,1.0274548420519303,0.6475925925925926,1.1150583497089044,0.6040740740740741
5,0.9538389505056232,0.6781481481481482,1.063827937312538,0.6233333333333333
6,0.8954358856006074,0.7006944444444444,1.0367812659827478,0.6262962962962964
7,0.8464799827152498,0.715925925925926,1.0466675883641994,0.6277777777777778
8,0.8011691380090464,0.7333333333333333,1.0011342123850873,0.6377777777777778
9,0.7573161763900212,0.7508796296296296,1.0691070921514287,0.6218518518518519
10,0.667734140971473,0.7856481481481481,0.9554329908872105,0.6588888888888889
11,0.6313278677994395,0.7981944444444444,0.9297726753547485,0.6659259259259259
12,0.6147588301286884,0.8047685185185185,0.9317891260725782,0.6751851851851852
13,0.5947758728183091,0.8095833333333333,0.9237222492697499,0.672962962962963
14,0.5788486416887985,0.8166203703703704,0.9242105158823805,0.6733333333333333
15,0.561099323022258,0.8239351851851852,0.9270204535525361,0.6755555555555556
16,0.5397622776411457,0.8296759259259259,0.9627334562544039,0.6659259259259259
17,0.5276616387728013,0.8318518518518518,0.9573065204462384,0.6685185185185185
18,0.5188443937166525,0.835324074074074,0.9564292865682688,0.6725925925925926
19,0.5056247710455362,0.84125,0.9420049659087248,0.6714814814814815
20,0.4530939929645827,0.862175925925926,0.9051991910300002,0.6885185185185185
