epoch,train_loss,train_acc,val_loss,val_acc
1,2.0066788923876504,0.2790740740740741,1.8500182597679078,0.37407407407407406
2,1.7352551935817946,0.4026851851851852,1.6886900415853752,0.4477777777777778
3,1.609087210022328,0.44601851851851854,1.5895676769905722,0.46925925925925926
4,1.531587771627007,0.4816666666666667,1.5254498120402658,0.4751851851851852
5,1.4710944207198802,0.507962962962963,1.4824942968737176,0.4988888888888889
6,1.4248949923787069,0.52375,1.4408565649622227,0.5059259259259259
7,1.3853818090875871,0.5394907407407408,1.411235370374397,0.5185185185185185
8,1.3504810315718627,0.5555092592592593,1.3877692501619068,0.5262962962962963
9,1.3236577683483863,0.5647685185185185,1.3667257548525997,0.5322222222222223
10,1.297592364509032,0.5760648148148149,1.3458945443576937,0.5422222222222223
11,1.2746261910960146,0.5837037037037037,1.3271079946509856,0.5507407407407408
12,1.2533296474729454,0.5924074074074074,1.3132725188401098,0.5592592592592592
13,1.2355264308703684,0.5974074074074074,1.2984144132462305,0.567037037037037
14,1.2171211546066067,0.605,1.2910237882982187,0.5481481481481482
15,1.2025470375201797,0.6079629629629629,1.2748460026416926,0.5637037037037037
16,1.186430407203605,0.6126851851851852,1.2671276868139965,0.5688888888888889
17,1.1718376931886814,0.6200925925925926,1.2493345305269432,0.5751851851851851
18,1.1595626955908447,0.6225925925925926,1.2431460653141562,0.5844444444444444
19,1.1460305191578883,0.6283796296296297,1.2374087212388236,0.5751851851851851
20,1.1311732154902252,0.6347222222222222,1.2227086506533502,0.5851851851851851
21,1.1222023172279492,0.6383796296296296,1.2215818198212507,0.5911111111111111
22,1.1173772400877298,0.6398611111111111,1.2166325898930372,0.5929629629629629
23,1.1118695820432818,0.6418055555555555,1.2127956791907863,0.5951851851851852
24,1.1060139352658191,0.6421296296296296,1.2109460797392704,0.5896296296296296
25,1.1009424839789939,0.6451851851851852,1.204406522825191,0.5925925925925926
26,1.0956785031364413,0.6468981481481482,1.2021638422774028,0.5911111111111111
27,1.0895994809059764,0.65,1.1953083443676709,0.597037037037037
28,1.0845416394325047,0.6506481481481482,1.1987328706217018,0.5933333333333334
29,1.079958306889699,0.6504629629629629,1.1921971253588874,0.597037037037037
30,1.0744624538570375,0.6552777777777777,1.1850665864391696,0.5985185185185186
