epoch,train_loss,train_acc,val_loss,val_acc
1,1.7390891593137,0.42435185185185187,1.5501133926372062,0.5188888888888888
2,1.4114459875579182,0.5588425925925926,1.3687772343095144,0.5740740740740741
3,1.2664795061588672,0.6116203703703704,1.2781401906939054,0.5977777777777777
4,1.1817331306784933,0.638425925925926,1.2421617940553051,0.5992592592592593
5,1.1181436575367685,0.65875,1.2012232939337901,0.6040740740740741
6,1.056584121701035,0.6829166666666666,1.1562548912901691,0.6185185185185185
7,1.0171625512802054,0.6939351851851852,1.133506320221768,0.6292592592592593
8,0.9756529464669975,0.7070833333333333,1.1079413991216773,0.6511111111111111
9,0.9346541423194438,0.7231018518518518,1.1336154514502375,0.644074074074074
10,0.9083375839958168,0.7271296296296297,1.0788130679160894,0.6507407407407407
11,0.8821663304746693,0.7363888888888889,1.195835991297766,0.6003703703703703
12,0.8562219110320037,0.7438425925925926,1.049587615030369,0.6503703703703704
13,0.8380110834087885,0.7483333333333333,1.0677790497166757,0.6481481481481481
14,0.8123887299453185,0.75625,1.0223962856981301,0.6533333333333333
15,0.7454839181745484,0.7826851851851852,0.9805065148405394,0.6633333333333333
16,0.7218851168288654,0.7901851851851852,1.0090761355208877,0.6611111111111111
17,0.7117111144518901,0.7956944444444445,1.006662291226153,0.6592592592592592
18,0.7028852283409527,0.7983333333333333,1.0038180784163968,0.6648148148148149
19,0.6973676472619369,0.7961111111111111,0.9940700041788831,0.6718518518518518
20,0.6756867273076329,0.8054166666666667,0.9550732525013287,0.672962962962963
21,0.6671039654721553,0.8075925925925926,0.9887564153554854,0.6677777777777778
22,0.6627951614133539,0.8114814814814815,0.9568210342501223,0.6840740740740741
23,0.6474477740384118,0.8148611111111111,0.952993452497506,0.6818518518518518
24,0.6424854547307409,0.8175,0.95098190307077,0.6811111111111111
25,0.63253312552103,0.82,0.9678616666321487,0.6751851851851852
26,0.6234957576857779,0.8201851851851852,0.9730582899709591,0.6696296296296296
27,0.6145673487162084,0.8278703703703704,1.0033520479236961,0.6644444444444444
28,0.6053919198792052,0.8272685185185186,0.9463358434711655,0.6755555555555556
29,0.5975058809551863,0.8299537037037037,0.9666526349773292,0.6807407407407408
30,0.5647442575988175,0.8450462962962964,0.9284187846316139,0.6877777777777778
31,0.5575468638110035,0.8485648148148148,0.92566696895837,0.6881481481481482
32,0.5581931578914846,0.8451388888888889,0.950446156007591,0.6785185185185185
33,0.5512577945681082,0.8501851851851852,0.9341224319076556,0.6796296296296296
34,0.5474604662496676,0.85125,0.9213798197777011,0.6885185185185185
35,0.5414220752301773,0.85375,0.9389348137612753,0.6818518518518518
36,0.536576109384346,0.8544907407407407,0.9151515156854068,0.6892592592592592
37,0.5351375668327737,0.8562037037037037,0.9257486234602484,0.6785185185185185
38,0.5291902672546412,0.8593981481481482,0.9231653713383194,0.6885185185185185
39,0.5228134892699643,0.8613888888888889,0.9251307077767759,0.6881481481481482
40,0.5210574753024837,0.861574074074074,0.9384119583124594,0.6807407407407408
41,0.5177328112205762,0.8615277777777778,0.9178169414076349,0.6885185185185185
42,0.5148723533220693,0.8611111111111112,0.9227052660164157,0.6851851851851852
43,0.5095010515034027,0.8630555555555556,0.93300976445808,0.6885185185185185
44,0.5079080807351174,0.8637962962962963,0.9250065119318289,0.6859259259259259
45,0.49028451925320143,0.8710185185185185,0.9160560181681044,0.6851851851851852
46,0.48782389495263784,0.8719444444444444,0.9240684397593434,0.6862962962962963
